"Club","About","URL"
"ASUW Gender Equity Commission","Dedicated to uplifting a culture of gender equity that is informed, equitable, and affirming for all UW community members who experience misogyny.","https://huskylink.washington.edu/organization/asuwac"
"ASUW La Raza Student Commission","Advocate for Latinx students on campus","https://huskylink.washington.edu/organization/asuwraza"
"ASUW Middle Eastern Student Commission","ASUW MESC is committed to serving, celebrating, and advocating for Middle Eastern Students at UW, as well as creating a safe space for students who need physical or emotional support both on and off campus.","https://huskylink.washington.edu/organization/asuwmesc"
"ASUW Office of Government Relations","The Office of Government Relations is the official lobbying arm of the ASUW. Our team is responsible for educating students on issues pertaining to higher education, advocating at the city, county and state level for student interests, and mobilizing students to express their concerns in the political realm.","https://huskylink.washington.edu/organization/asuwogr"
"N/A","N/A","https://huskylink.washington.edu/organization/asuwoid"
"ASUW Office of Outreach and Involvement","Manages volunteer opportunities and University committee student representation","https://huskylink.washington.edu/organization/asuwooi"
"ASUW Pacific Islander Student Commission","Advocate for PI RSO's and students on campus.","https://huskylink.washington.edu/organization/asuwpisc"
"ASUW Queer Student Commission","Advocate for LGBTQ+ RSO's and students on campus. ASUW QSC works through programming, policy, and community advocacy to support and elevate the queer student voices on campus.","https://huskylink.washington.edu/organization/asuwqsc"
"ASUW RainyDawg Radio","Rainy Dawg Radio is UW's only student-run radio station! We are made up of a group of ~130 students that have passion for music, politics, and culture. We typically have 1 hour DJ slots on rainydawg.org, and we operate out of the HUB. We also host live music events around campus, and give volunteer bloggers tickets to local concerts to write up for our blog! Over COVID, we have transitioned to offering livestream concerts, and we are now working on remote broadcasting plan.","https://huskylink.washington.edu/organization/asuwrdr"
"ASUW Senate","Student Senate is a fantastic environment to get exposed to student activism at UW and provides many opportunities for leadership.Many Senators move upward in ASUW quickly by becoming Committee Chairs, Senate Officers, or Entity Directors. Others may decide to run for the Board of Directors in the Spring–they will help determine association policy!Join us to . . .LearnPublic speaking skillsLegislation writingDebate and logical argumentationBuildPersonal and professional networksYour Husky ExperienceEquitable opportunities for studentsAccessForums with administrators and other UW staffLeadership opportunitiesEmployment with ASUWIn the past, Senators have often gone on to other influential positions within the Association–from Commission Director to ASUW President. Leadership within ASUW is no easy task and is a step in the right direction for those aspiring to public office in the future.Notable alumni include Washington State Solicitor General Noah Purcell, United States Congressman Norm Dicks, and two Washington State Attorneys General, Robert McKenna and Robert Ferguson.","https://huskylink.washington.edu/organization/asuwsenate"
"ASUW Sexual Assault and Relationship Violence Activists","SARVA","https://huskylink.washington.edu/organization/asuwsarva"
"ASUW Student Disability Commission","The SDC is a student-led disability advocacy organization housed under ASUW. It is comprised of 2 student employees (Director and Assistant Director), and a team of 10 interns! The SDC puts on events addressing relevant topics within the Disability community, and advocates on campus for greater access for disabled students.The SDC understands disability as not merely an individual or medical problem, but rather the result of social and physical barriers to full participation in society. We also recognize that disabilities affect people in unique ways based on culture, race, religion, sexual orientation, class, and political backgrounds. We want to celebrate these differences within our community.If you'd like to learn more about us, watch the video linked here! -","https://huskylink.washington.edu/organization/asuwsdc"
"ASUW Student Food Co-operative","We are advocates for sustainable food practices and reducing food insecurity for UW students. We hold events throughout the year to uphold these values, including the annual Humble Feast!","https://huskylink.washington.edu/organization/asuwsfc"
"ASUW Student Health Consortium","The Student Health Consortium is a group of students who provide a meaningful resource to health-oriented student groups (RSOs) and to promote student health and wellness on campus through education and advocacy. If you would like to join the Consortium, please email hussah@uw.edu!","https://huskylink.washington.edu/organization/asuwshc"
"ASUW UW Leaders","UW Leaders (UWL) is a peer mentorship and leadership development program within the  Associated Students of the University of Washington (ASUW). UWL offers leadership-building opportunities for first, second, and transfer third-year students. Whether students have been involved in past leadership or are looking to get started, UWL gives students the tools and support necessary to become the leader they want to be. We believe thatLeaders are made not born, so every student has the potential to be a change-maker on campus and the greater Seattle area! Applications for mentors for UW Leaders 2021 are now open. We are currently recruiting qualified candidates with demonstrated leadership to join the program as part of the mentor team. Apply by August 14th to be considered for one of the top leadership development programs on campus!","https://huskylink.washington.edu/organization/asuwuwl"
"N/A","N/A","https://huskylink.washington.edu/organization/asylum-eval-student-clinic"
"N/A","N/A","https://huskylink.washington.edu/organization/auradancecompany"
"Automobile Association at University of Washington","In the spirit of knowledge exchange, community building, and the promotion of automotive passion, we are proud to introduce the Automotive Association @ University of Washington. This esteemed platform serves as a nexus for car aficionados, owners, and aspirants, offering an environment where the community can delve deep into the intricacies of automobile design, engineering, and maintenance.Recognizing the profound connection that many share with their vehicles, the Initiative seeks to transcend mere aesthetics and performance discussions. Instead, it aims to empower members with mechanical insights, fostering an environment of mutual assistance. From the proud owner of a vintage classic to the student eyeing their first purchase, all are welcomed to share their stories, knowledge, and inquiries.Our mission goes beyond merely celebrating our shared enthusiasm for cars. We envision a community where expertise flows freely, where problems find solutions, and where a love for automobiles brings us all closer together. We invite every member of the University of Washington community to join us, contribute, and elevate the collective automotive discourse to new heights.","https://huskylink.washington.edu/organization/autouw"
"AVELA- A Vision for Engineering Literacy and Access","Our mission is to provide outreach to elementary, middle and high school students from predominantly underrepresented backgrounds (Black, Hispanic, Native American, and Pacific Islander) by representing these populations as we expose them to the fields of Science, Technology, Engineering and Mathematics (STEM) with the goal of sparking their interest in STEM careers and/or higher education. For students who are new to the University of Washington, AVELA offers an opportunity to gain hands-on experience developing and presenting STEM activities to younger students, mentorship, and career development.","https://huskylink.washington.edu/organization/avela"
"Baha'i Club at UW","The Baha'i club at UW aims to promote the principles and teachings of the Baha'i Faith through its campus activities. Our activities center around the oneness of humanity, the harmony of science and religion, the basic oneness of all religions, the equality
 of men and women, the elimination of extremes of wealth and poverty, and other core principles of the Baha'i Faith. Membership is open to all. All who have an interest in the Baha'i Faith, irrespective of religious affiliation, are welcome to attend meetings
 and events.","https://huskylink.washington.edu/organization/bahai"
"Barbell Club at the University of Washington","The Barbell Club at the University of Washington is an inclusive, student-run organization dedicated to creating a community for students interested in or currently active in weight training and/or physique building.Weight training encompasses a variety of fitness disciplines including but not limited to olympic lifting, powerlifting, and bodybuilding. We are a non-competitive organization that welcomes individuals of all skill levels—from seasoned athletes who’ve competed on stage to beginners just stepping into the gym. No matter where you are in your fitness journey, we'd love to have you as a part of our community!Member meetings:January 23rdFebruary 6thFebruary 20thMarch 6th🕕Time:6:15 PM📍Location:SAV 131Follow Us on Instagram@BarbellclubUWfor the most up-to-date announcements!Email:BarbellclubUW@uw.edu","https://huskylink.washington.edu/organization/barbellclub"
"N/A","N/A","https://huskylink.washington.edu/organization/bk"
"BeautifyUdub","BeautifyUdub is a environmentally focused RSO at the University of Washington, Seattle that combats climate anxiety with community service. Our campus is positioned in the city of Seattle, hosts thousands of people every day, and the UW underfunds maintenance managers, so it makes sense why there would be litter throughout the grounds. Our club seeks to combat litter on campus with community engagement, specifically from first-years.We meet every Tuesday at 4:30 and host a trash pick up competition outside of the North Campus dorm halls. Teams compete with each other to pick up the most litter within a 30 minute limit. The team who collects the most litter by weight is awarded a free dinner, ice cream, and sometimes hiking gear.Beautify to Build is a new project launching this year where we take collected litter and turn it into functional pieces that benefit the UW community.","https://huskylink.washington.edu/organization/beautifyudub"
"Beekeeping Club at University of Washington","Email list:https://forms.gle/ecmzxFoPGt8B4nWp7Instagram: @uwbeekeepingclub","https://huskylink.washington.edu/organization/beekeepingclub"
"Bengali Students Association","An organization aiming to connect students of Bengali and non-Bengali ethnicity and encourage community.","https://huskylink.washington.edu/organization/bengali"
"Best Buddies","Mission:Best Buddies International is an international nonprofit dedicated to establishing a global movement that creates opportunities for one-to-one friendships, integrated employment, leadership development, and inclusive living for individuals with intellectual and developmental disabilities (IDD).Who we serve:The IDD community that Best Buddies serves include, but is not limited to, people with Down Syndrome, autism, Fragile X, Williams syndrom, traumatic brain injurty and other undiagnosed disabilities.Programs:Best Buddies is the world's largest organization dedicated to ending the social, physical and economic isolation of the 200 million people with intellectual and developmental disabilities (IDD). Our programs empower the special abilities of people with IDD by helping them form meaningful friendships with their peers, secure successful jobs, live independently, improve public speaking, self-advocacy and communication skills, and feel valued by society. Join the UW chapter today, and help to make a difference here in your community!Levels of InvolvementThere are two levels of involvement in UW Best Buddies: peer buddy or associate member. As a peer buddy, you are matched in a one-to-one friendship with an adult in the community with IDD. You are responsible for attending bi-weekly meetings and hanging out with your buddy at least once a month, as well as making regular contact with your buddy via text, phone call, etc.For students that would still like to be involved in Best Buddies but cannot commit to being matched in a one-to-one friendship, an associate member is the commitment level for them!  There are no requirements for being an associate member; students may come to meetings and socialize as they wish. We will meet you at any commitment level!If you have any questions about getting involved with Best Buddies at the University of Washington, emailuwashingtonbestbuddies@gmail.comWe ask that rather than fill out an application on the RSO website that you send us an email to ensure that we can get you involved with our club in whatever capacity you would like. We are happy to answer any and all of your questions!","https://huskylink.washington.edu/organization/bestbuddies"
"Bhakti Yoga Club @ UW","Bhakti Yoga Club at UWis a community dedicated to exploring mindfulness, meditation, and devotion through the ancient practice of Bhakti yoga. We offer a space for students to engage in meaningful discussions, guided meditations, and kirtan (devotional music) to cultivate inner peace and connection.Our weekly meetings provide a welcoming environment for self-reflection and spiritual growth, while our quarterlyMantra Houseevents, drawing over 150 attendees, offer an immersive experience in meditation, music, and community.Join us to discover the joy of devotion and create lasting friendships on your journey toward holistic well-being. All are welcome!","https://huskylink.washington.edu/organization/byc"
"Biochemistry Undergraduate Reading Program","The Biochemistry Undergraduate Reading Program (BURP) creates 1-on-1 mentorship experiences between undergraduate mentees and a graduate or postdoctoral mentor, as well as cohort-wide learning experiences between undergraduates. Mentees are paired with mentors based on shared interests, and the pair meets throughout the academic term to read and discuss scientific papers. In addition, undergraduate students may meet in a journal club to discuss with each other their papers and questions they have. The quarter culminates in a symposium where mentees demonstrate what they have learned to the UW Biochemistry community.BURP was created to empower undergraduate students to hone their critical thinking skills by reading the biochemical scientific literature, and to develop their skills pertaining to this mission, such as citation management, knowledge management, and paper analysis tools while reading scientific literature in two settings: (i) in partnership with a mentor (graduate student, postdoctoral scholar, or faculty member) through 1-on-1 meetings; and (ii) in community with other undergraduate students through an informal journal club / journal workshop. Through this process, we aim to form meaningful mentor relationships between undergraduate and graduate students, and assist graduate students with an opportunity to practice and improve mentorship and teaching skills.","https://huskylink.washington.edu/organization/burp"
"Bioengineering Graduate Student Association","To provide graduate students in the Bioengineering and affiliated departments with a venue in which to interact socially and professionally to grow academic and professional networks while promoting dialogue on the furthering of BioE ventures.","https://huskylink.washington.edu/organization/bioegsa"
"Bioengineers Without Borders","Our goal is to develop low-cost, sustainable medical technologies while providing students with engineering design experience and professional development.","https://huskylink.washington.edu/organization/bwbuw"
"Biology Students for Equity","It shall be the purpose of this organization to create a space for students of all identities in the biology department to promote equity and inclusion within the department.","https://huskylink.washington.edu/organization/bioequity"
"Black Graduate Student Association","The purpose of Black Graduate Student Association is to enhance scholarly and professional development of graduate students at UW through networking, seminars, forums, workshops, and social gatherings. The Black Graduate Student Association will work to facilitate the transition to graduate school, provide academic support, and provide opportunities for fellowship, service, and activism.","https://huskylink.washington.edu/organization/bgsa"
"Black in Informatics","BINFO is a community for Black students either interested or already in the Informatics program at the University of Washington. We aim to promote professional development, academic success and personal growth through sponsored hackathons, mentor-mentee pairing, and informational sessions featuring industry guest panelists, etc.Our mission is to not only increase the number of black students pursuing Informatics, but increase the number of black students aware of it as well. More specifically, we don't just want to raise awareness but we envision cultivating a learning community through BINFO to guide black students throughout their time at UW and the iSchool. This guidance takes many forms such as informational sessions, career path workshops, resume reviews, hackathons, and crash course meetings where we do a deep dive into special topics that will be lead by a student or INFO alumni.","https://huskylink.washington.edu/organization/binfo"
"Black Law Students Association","BLSA exist to support it's members in successfully integrating into law school and the legal field by leverage the collective power and resources of students, alumni, and the law school community. BLSA seeks to ensure Black students are able to fully and equitably participate in the legal profession by:Fostering and encourage community and belonging amongst students.Providing networking/mentorship opportunities to BLSA members and other underrepresented groups at UW Law.Influencing UW Law and the  legal community to bring about meaningful change that addresses the under representation of black people within the legal community.Providing awareness of resources and events available to students.Providing a safe space for Black law students to gather and discuss shared experiences.Promoting the initiatives and goals of the NBLSA.","https://huskylink.washington.edu/organization/blsa"
"Black Leaders in Business","Black Leaders in Business is the unifying hub for two student affinity clubs at the University of Washington Foster School of Business: the Association of Black Business Students (ABBS) and the UW-Chapter of the National Association of Black Accountants (NABA). Both organizations aim to foster a supportive community for Black business students and provide opportunities for professional and leadership development. ABBS, established in 1970, evolved from a graduate association to include undergraduate students in 1977. NABA, founded in 1969, focuses on professional development and emphasizes ""Lifting as we climb."" In 2019, Black Leaders in Business merged membership and management of ABBS and NABA, uniting all Black students and prioritizing unity and community, with a mission to support each other's growth.","https://huskylink.washington.edu/organization/none01"
"Black Student Union","The purpose of this organization is to establish a cohesive union between Black students, Black faculty, other Black organizations and the greater UW community. BSU exists to enhance cultural and political awareness, sponsor social events and provide support for the students and the community.","https://huskylink.washington.edu/organization/uwblackstudentunion"
"Board Games at UW","Come to our game nights alone or with friends, you'll always be able to find a group to play games with! The club will provide our extensive collection of board games, including games like Catan, Avalon, Coup, Ultimate Werewolf, Captain Sonar, Cosmic Encounters, 7 Wonders, and Code Names. Truly something for everyone, however, you are always welcome to bring your own board games!https://discord.gg/YGe6afh","https://huskylink.washington.edu/organization/boardgames"
"Book Club","This book club meets twice per month to discuss a book that we choose as a group. Each month, we also try to hold one social event - in the past we have had movie nights, potlucks, and secret santa events!Follow us on Instagram @uw.bookclub to see updates, and dm us there to join our discord server!","https://huskylink.washington.edu/organization/yabookclub"
"Brain Exercise Initiative at the University of Washington","Brain Exercise Initiative is a student-run 501(c)(3) nonprofit organization that uses simple math, writing, and reading exercises as an intervention to help seniors improve cognitive function and prevent memory loss from neurological diseases like Alzheimer's and other dementias.","https://huskylink.washington.edu/organization/bei"
"Brazilian Jiu-Jitsu Club at the University of Washington","To practice Brazilian Jiu-Jitsu with those who enjoy it. Please contact us through our facebook page ordiscordfor best results!FAQ's for the Brazilian Jiu Jitsu Club at the University of WashingtonQ: When does the club practice?A: We train Tuesdays and Thursdays during the UW academic year from 5:00pm to 7:00pm in Mat Room B in the IMA. The beginner class trains concurrently with club practices, from 5:30pm to 7:00pm.Q: Are there any dues or requirements I need to complete in order to join the club?A: If you have a valid IMA membership and prior experience training Brazilian Jiu Jitsu, you have everything you need to join our club practice! We only ask that you introduce yourself to our coach at a practice before you begin practicing so he knows your comfortability level and what level of experience you bring. In some cases we may also ask you to take our beginner class or complete further training before joining the club practices.Q: I have no experience training Brazilian Jiu Jitsu but I'm interested, is that okay?A: Most of our members didn't have any experience prior to training with us, and we are a beginner focused club and class. We offer a beginner class through the IMA for that reason, and through the class you will learn the fundamentals and basic safety skills necessary to see what BJJ is about, whether or not it's the sport for you, and the skills to join the club practices.Q: How can I sign up for the beginner class?A: To sign up for the class, you can go this link (https://reg.recreation.uw.edu/) and select special interest classes. There you will see an option for Brazilian Jiu Jitsu and after selecting that you can begin the registration process. Once you have completed the class, you should have all the experience you need to continue into the club practices. If the class is full, you can wait to sign up for the next quarter and the exact same material will be taught.Q: When do the classes and club practices start?A: Classes start on the Tuesday of the third week of the quarter, and club practices begin on the Thursday of the first week of the quarter.If you have any other questions absolutely feel free to message our page and one of our officers can get back to you!","https://huskylink.washington.edu/organization/uwbjj"
"Bricolage: Literary & Visual Arts Journal","Bricolage is a literary and visual arts journal published at the University of Washington. For over forty years, we have published prose, poetry, and visual art in our annual publication. Our staff is comprised of undergraduate volunteers who oversee production, outreach, and fundraising. Regardless of whether you are an art creator or an art consumer, we invite you to be a part of the Bricolage community.","https://huskylink.washington.edu/organization/bricolage"
"Bridges International at the University of Washington","We provide services for the international students and visiting scholars in the form of welcome meetings, social events, and conversation partners. We have discussion groups for those interested in learning about Christianity as well.","https://huskylink.washington.edu/organization/bridgesatuw"
"Bridges to Health","The Bridges to Health Patient Advocacy Center was created in 2008 with the intention of achieving three goals: 1) increasing public awareness and knowledge regarding basic health and preventative medicine via community engagement events 2) encouraging patients to become actively involved in their health decisions and providing patients with the health literacy and skills to do so and 3) expanding access to health services in medically underserved and high-risk populations. 4.) Teach about the environmental and social determinants that negatively impact community health. Students involved in Bridges to Health will achieve these goals through community outreach events and collaboration with other organizations both within the School of Pharmacy and interprofessionally.","https://huskylink.washington.edu/organization/b2health"
"Brothers In Color at UW","The mission of Brothers in Color at UW is to advocate for males of color to come together and discuss the barriers hindering their success at the UW, create a space for males of color to come together and socialize with each other, and provide support and resources to males of color for their continued success at the University of Washington.","https://huskylink.washington.edu/organization/bicuw"
"Bruce Harrell Black Pre-Law Association","BHBPLSA exist to support it's members in successfully integrating into law school and the legal field by leverage the collective power and resources of students, alumni, and the law school community. BLSA seeks to ensure Black students are able to fully and equitably participate in the legal profession","https://huskylink.washington.edu/organization/bhbplsa"
"Burma/Myanmar Student Association","BMSA was created for the purpose of bringing together students of Burmese descent or those interested in the culture. We are also here to promote awareness of Burmese culture and to build a sense of community.","https://huskylink.washington.edu/organization/bmsauw"
"Business Alliance @ UW","The Business Alliance @ UW provides professional aid and support for LGBTQ+ and allied undergraduates of all majors at the UW through various programs including mentoring, targeted recruiting, and informational workshops.  UWBA brings in speakers and queer professionals from around the world for recruiting in industries such as consulting, investment banking, entrepreneurship, and more. Alongside professional development, UWBA is a social organization dedicated to fostering relationships across UW's diverse student body.https://www.uwbusinessalliance.com/For questions, please reach out to uwbusinessalliance@gmail.com","https://huskylink.washington.edu/organization/businessalliance"
"Business Ethics Association","Our goal is to promote the importance of ethical business practices so that the leaders of tomorrow will achieve success through integrity. We meet every Wednesday from 6 to 7 pm in PCAR 297.For the most up-to-date information on club meetings, join our mailing list and visit our Instagram page.","https://huskylink.washington.edu/organization/uwbea"
"Business Impact Group at UW","The Business Impact Group is proud to offer businesses who typically do not have access to traditional consulting services the opportunity to work with our student consultants.​Each quarter, teams of student consultants will help companies grow by delivering innovative solutions to clients, and researching common business problems to build BIG's internal database and provide project support. If you are interested in helping companies achieve their goals, creating jobs in the community, and strengthening the regional economy, BIG Consulting is for you!","https://huskylink.washington.edu/organization/biguw"
"Business Information Technology Society","As a dynamic, student-led organization at the Foster School of Business, BITS aims to foster a community where students can explore the intersection of business and technology, through engaging events, informative speakers, and interactive workshops.","https://huskylink.washington.edu/organization/bits"
"Call of Duty @ UW","A place for people to play and talk about Call of Duty! Come join our Discord server athttps://discord.gg/EnhEHjrneZ! We are looking to start a professional COD UW Esports team!","https://huskylink.washington.edu/organization/callofdutyatuw"
"Camp Kesem at UW Seattle","Make a difference for the kids.Camp Kesem is a national nonprofit organization providing a free summer camp for children whose parents have been affected by cancer. Our Kesem community is dedicated to creating a fun and wacky environment to give these kids the opportunity to be kids again. From dominating at paint wars to sharing your perfect s’mores recipe, these special bonds forged at camp unites us as family.We Kesem for the difference. We Kesem for the kids.","https://huskylink.washington.edu/organization/kesem"
"Capillaries Journal of Medical Humanities","It shall be the purpose of the Capillaries Journal to provide the UW community with the opportunity to reflect on their experiences with medicine, healing, illness, and/or grief through prose, poetry, and artwork. Furthermore, this organization aims to support students and the community in their healthcare journeys and promote greater understanding between the sciences and the humanities.To Learn More:https://youtu.be/8RvCnmiB54ohttps://www.capillariesjournal.com/","https://huskylink.washington.edu/organization/capillariesjournal"
"Car Club at UW","We unite University of Washington students who share the same passion and enthusiasm for cars and car culture, providing a common interest community on campus to enrich students' lives.","https://huskylink.washington.edu/organization/carclub"
"N/A","N/A","https://huskylink.washington.edu/organization/ctsig"
"N/A","N/A","https://huskylink.washington.edu/organization/cc"
"CareerWomin at UW","The UW Chapter of CareerWomin stands out from other Registered Student Organizations (RSOs) because we’re not limited to one specific field like Finance or Computer Science. Instead, we create a safe space for all students, particularly those who identify as women, to explore various career paths—an essential part of early career development. By promoting diverse skills and perspectives, we help students avoid being funneled into a single career path too soon. Our focus is on providing broad exposure to different industries, building the confidence and connections needed to explore multiple fields.","https://huskylink.washington.edu/organization/careerwomin"
"Catholic Newman Center at the UW","We are a Catholic community striving to know, love, and serve God. We pray, we study, we hang out, and we grow deeper in friendship with God and with each other. Curious? Come and check us out on the corner of 45th and 20th.","https://huskylink.washington.edu/organization/uwnewman"
"Ceramics Club at the University of Washington","Find out more about Ceramics Club and become a member through our website!https://ceramicsclub.wixsite.com/ceramicsclub-Ceramics Club strives to provide a space for creative individuals who have a passion for pottery or an interest in learning more about the art form. We currently offer studio sessions multiple days a week at the Wet Clay Cafe in Fremont! To participate, sign up for our mailing list and join our monthly lottery for spots in the classes. We also provide on campus art events, always sent out to our mailing list and posted on our Instagram. The Ceramics Club at the University of Washington is not designed to be a club exclusive to students of the Art Department. All UW students, faculty, and staff, regardless of previous art experience, are welcome to join the club!Feel free to reach out to us at ceramicsclub@uw.edu or dm our Instagram account, @ceramicsclubatuw.","https://huskylink.washington.edu/organization/ceramicsclub"
"Certificate of International Studies in Business","This is the RSO sector of Foster's nationally ranked and award-winning comprehensive international business program, the Certificate of International Studies in Business (CISB) is an intensive supplement to a student's business administration degree. Our purpose is to give students the competitive edge they need to succeed in global business. We do this through a community of like-minded individuals, cross-cultural skills development, networking opportunities, and practical experience. Students specialize in a language and region, study or intern abroad, and take international classes alongside their respective business concentrations. Students leave CISB with a global mindset, cultural awareness, language proficiency, and the ability to lead in ambiguous situations.At this time, applications are only open to standard UW students who are in the Michael G. Foster School of Business as a Foster-exclusive RSO associated with the CISB academic program. Learn more at theCISB Program Website.If you are an exchange student and interested in joining the CISB program/RSO, please emailcisb@uw.edu.","https://huskylink.washington.edu/organization/cisb"
"Chabad Jewish Student Group","Chabad is a warm, non-judgmental, fun, exciting, and lively place that practices the Jewish faith. All are welcome to come, learn and worship with us!","https://huskylink.washington.edu/organization/chabad"
"Chamber Music Club","It shall be the purpose of this organization to create a network of students interested in chamber music and provide opportunities for them to play, perform, and learn about chamber music.","https://huskylink.washington.edu/organization/cmclub"
"Chamber Singers at the University of Washington","","https://huskylink.washington.edu/organization/chamber-singers"
"ChanceSee","Help children/students in impoverished area of China by recruiting undergraduate/graduate students to be their teacher.","https://huskylink.washington.edu/organization/chancesee"
"N/A","N/A","https://huskylink.washington.edu/organization/chanoyuclub"
"Chem-E-Car at UW","AIChE's annual Chem-E-Car Competition® engages college students in designing and constructing a car powered by a chemical energy source, that will safely run a specific given distance and stop. We focus on the complete design of this car, including energy generation, locomotion, and chemically-controlled timing mechanisms.No prior experience needed!We stive to create an environment of communal learning and mentorship; as long as you're enthusiastic about learning, we're happy to have you! All members are encouraged to pitch any design ideas they have. The work is highly interdisciplinary and open to all majors.Common areas of investigation include, but are not limited to:- Battery materials, chemistry, and assembly- Chemical reaction rates (kinetics)- Thermodynamic analysis- Basic circuit design and assembly- Arduino coding- Computer Aided Design (CAD)- Design of locomotion systemWe also assemble a good amount of technical documentation. Collectively, we have many opportunities to practice and apply laboratory and technical communication skills.Looking to get involved? Fill out the following interest form: https://tinyurl.com/chemecarUWThis is not an application; the form is primarily used to help with club administration and organization. It should take less than 5 minutes to complete. Feel free to also ask any questions you have regarding the club!","https://huskylink.washington.edu/organization/chem-e-car"
"Chemistry Graduate Student Club at the University of Washington","The purpose of this organization is to provide opportunities for graduate student participation in group activities and to foster interaction between students and faculty, as well as to extend enthusiasm for science to the wider community that is served by the University of Washington.","https://huskylink.washington.edu/organization/chemgrad"
"Chess Club at UW","To promote the game of chess and give students, faculty, and community members a place to play, learn, and socialize.We meet every Tuesday 5:30-7:00 in MEB 237. Join our discord (https://discord.gg/bYmqU6JqPj) for updates, reminders, and discussion!","https://huskylink.washington.edu/organization/chessuw"
"Chi Omega","A sisterhood providing a lifelong network of friends, committed to personal integrity, excellence in academic pursuits, inter-generational participation, philanthropy, and community and social enrichment.","https://huskylink.washington.edu/organization/chiomega"
"Chi Psi Fraternity","A Fraternity of Gentlemen in the pursuit of advancement in our members' intellectual, moral, and social lives.","https://huskylink.washington.edu/organization/chipsi"
"Chi Sigma Alpha National Sorority, Inc.","Our purpose is to increase Asian-American awareness through service and sisterhood. To bring together diverse women to build strong character, leadership skills, and confidence.","https://huskylink.washington.edu/organization/chisigs"
"Chicanos/Latinx for Community Medicine","CCM is a Pre-Health organization striving to increase the number of under-represented minorities in Healthcare and committed to improving the health outcomes of under-served minority populations in our community through education and activism.","https://huskylink.washington.edu/organization/ccm"
"CHID: Create, Critique, Transform","Inspired by radically interdisciplinary, decolonial, Queer, and multispecies intellectual engagements, we seek to create a student space for the intersections of knowledge-production and everyday University life. How can ideas help us find new forms of mutual care? This club seeks to find new ways to interact with faculty, staff, community members, and other students in a joyful exploration of ideas beyond the classroom.","https://huskylink.washington.edu/organization/cctchid"
"Child Rights and You UW Chapter","CRY America is a 501c3 non-profit organization driven by its vision of a just world in which all children have equal opportunities to develop to their full potential and realize their dreams. We ensure that basic rights of education, healthcare and protection from exploitation and abuse are restored to underprivileged children, including street children, girl children; children bonded in labor, children of commercial sex workers, physically and mentally challenged children and children in institutions.","https://huskylink.washington.edu/organization/cryuw"
"China Entrepreneur Network at University of Washington","The mission of CEN is Entrepreneurship and Innovation for a Sustainable Future.  In essence, we help students build entrepreneurship with a social mission.  CEN is a collaborating organization of global university students with 12  chapters in the U.S. and China. It is an IRS-certified 501 (c) (3) nonprofit organization. It has over 100 advisors from related fields for the chapters in US  and China, including world-known scholars, entrepreneurs, and nonprofit leaders.  The China Entrepreneur Network at the University of Washington (CEN-UW) was established in January 2013. Our ultimate goal is to convene, cultivate and support local student communities' educational and career advisory. CENUW Chapter dedicates itself to enriching the university entrepreneurial community. We encourage and help students to pursue their startup dream by presenting them with various opportunities and challenges. CENUW team shall achieve this through developing leadership, cultivating innovation, and always practicing goodwill.","https://huskylink.washington.edu/organization/cenuw"
"Chinese Covenant at the University of Washington","We are a Christian Fellowship at the University of Washington. We held meetings every Friday from 6 to 8 PM on campus to bound with our members.","https://huskylink.washington.edu/organization/uwchinesecov"
"Chinese Debate Club at University of Washington","Chinese Debate Club aims to develop a debate team that could represent the University of Washington to champion international debating competitions; and provide students chances to improve speaking and critical thinking in Chinese.","https://huskylink.washington.edu/organization/chinesedebateclub_uw"
"Chinese Student Association at the University of Washington","The Chinese Student Association (CSA) is a Registered Student Organization at the University of Washington. We are an entirely student-led group dedicated towards improving cultural awareness on campus as well as providing support for those who come from a common background.As the Chinese Student Association at the University of Washington, we are dedicated to encouraging a greater awareness of Chinese culture, cultivating Chinese and Chinese American identity, and promoting a meaningful relationship within the university and the community at large. (No need for membership request, attend our events! See more @csauw)","https://huskylink.washington.edu/organization/csauw"
"Chinese Students and Scholars Association","Currently, we have over 4,000 members, mostly Chinese students and scholars studying or working at UW or having graduated from UW, but also including families and friends of Chinese students and scholars at UW. We also have associated with the local community and have contacts with several other major Chinese organizations in the greater Seattle area. With our large membership, CSSA-UW has been playing an active and influential role in sponsoring and organizing activities on the UW campus as well as in the community of the greater Seattle area to promoting Chinese culture.To reach our goals, CSSA-UW provides various services and organizes various activities to its members as well as the community in greater Seattle area.Our major services include:Parties for the celebration of major Chinese festivals;Orientation and reception to new students or scholars, including consultation for new students;Entertainment, sports and game activities;Distributing various information/messages, ranging from cultural activities in local community, job opportunities in Seattle, to housing and yard selling information from/to members via the mailing list and the CSSA discussion board;Sponsoring various seminars or presentations related to group members, such as seminars on visa application, or on career development;Supporting or coordinating our members to participate in cross-cultural activities on UW campus.Over the years CSSA-UW has organized many large events, including the annually New Student Welcome Party and the Chinese New Year Celebration, which attracted hundreds of students, scholars, and Chinese professionals in the greater Seattle area, as well as VIPs including the consul of China San Francisco.Besides these annually large events, we also regularly organize and coordinate some social activities, ranging from weekly ping pong games and soccer games, to quarterly or semi-quarterly Chinese movie shows, dancing parties, and outdoor trips.We are looking forward to welcoming more new members, and to reaching out more into the local community to further promote understanding of Chinese culture in the Seattle area.","https://huskylink.washington.edu/organization/cssa"
